PC1,PC2,PC3,PC4,PC5,genotype,entry,Cluster,Dataset
0.503347183,1.988803629,1.941489044,-2.408349529,0.307006204,4577931,2,0,A
2.023488411,1.854848315,1.243218559,-0.487927049,0.066765273,4748125,6,0,A
0.571184264,3.251689075,-0.764695771,2.349530705,1.216905099,4748117,7,0,A
3.471924321,1.789554447,-1.245441395,-0.831042736,-0.233349123,4748040,9,0,A
-0.430731464,-1.701998439,0.559927482,1.109922614,-0.361460423,5551750,1,1,A
-2.213422338,-1.219129055,2.007679216,-0.111399415,2.078020587,5180627,3,1,A
-0.740784231,-1.930444818,1.593155065,-0.143212185,-1.338879673,6175024,4,1,A
1.849747914,-2.908206862,-0.107070593,-0.692028079,0.700483884,6176368,5,1,A
4.584769224,-2.402324197,-1.231127976,0.169731731,-0.148291647,4748118,8,1,A
0.131959218,0.361537404,0.197937947,2.476343159,-0.80129749,4748161,10,1,A
-1.7776875,0.92291183,2.094003836,0.528489244,-1.172287262,5893282,14,1,A
-2.527300498,1.332879518,-2.193272724,-1.57357067,-1.114324424,3825355,11,2,A
-2.664824228,-0.505997936,-2.261028575,-0.591290254,0.808809045,6056139,12,3,A
-2.781670277,-0.834122911,-1.834774116,0.204802465,-0.00810005,5429336,13,3,A
0.371994546,1.574287087,0.4243585,-3.273922669,0.628684914,4577931,2,0,B
2.789884709,2.49720684,0.747955205,-0.631911448,0.004751588,4748125,6,0,B
0.59115304,3.262606427,-1.249834739,2.008652254,1.635539006,4748117,7,0,B
3.995947288,0.897441904,-1.992627278,-0.775887506,-0.239728757,4748040,9,0,B
-0.238413616,-1.140048761,1.318604225,1.212834791,-0.199783306,5551750,1,1,B
-2.440550176,-0.319058847,2.387845877,-0.383049261,1.514787911,5180627,3,1,B
-0.73803545,-1.406169711,1.98242685,-0.300578323,-0.746865783,6175024,4,1,B
1.056981297,-3.77521596,0.069969355,-0.989675689,1.128432877,6176368,5,1,B
4.881136555,-2.562327836,-0.161388404,0.848091044,-1.01496965,4748118,8,1,B
0.525047859,0.274212769,0.231731032,2.084680571,0.209102753,4748161,10,1,B
-2.946022587,0.736510553,-2.461410714,-0.933348923,-1.599332278,3825355,11,2,B
-3.200810179,-1.217798251,-1.485306082,0.655673845,0.012083446,5429336,13,2,B
-2.974065066,-1.109741973,-2.279272101,0.009072405,0.315849112,6056139,12,2,B
-1.674248221,2.28809576,2.466948272,0.469368909,-1.648551833,5893282,14,3,B
1.882240188,-0.722182083,0.486692049,,,6176368,5,0,C
1.774747854,-0.8023101,-0.40684519,,,4748125,6,0,C
3.215485384,0.014467514,0.398209871,,,4748118,8,0,C
3.195229552,0.024571534,-0.439636323,,,4748040,9,0,C
-0.44839037,0.274109096,-0.259606634,,,5551750,1,1,C
-2.088841083,-1.125264719,1.643174526,,,5180627,3,1,C
-0.29590671,-0.781429108,-1.089109493,,,6175024,4,1,C
0.464845373,2.801655832,1.120958763,,,4748117,7,1,C
0.442559361,1.676943579,-0.840936227,,,4748161,10,1,C
-2.010703176,-0.119563738,-0.67800606,,,3825355,11,1,C
-1.824892657,-0.050571244,0.848039623,,,6056139,12,1,C
-1.920130628,1.28454465,0.410433912,,,5429336,13,1,C
-2.269161765,0.000507605,-1.67637663,,,5893282,14,1,C
-0.117081326,-2.475478819,0.483007814,,,4577931,2,2,C
2.481976842,0.803700365,,,,4748125,6,0,D
3.775820682,0.089690428,,,,4748118,8,0,D
3.766935084,-0.118716298,,,,4748040,9,0,D
-0.179997804,0.596122012,,,,5551750,1,1,D
-0.250560562,-0.414135753,,,,6175024,4,1,D
0.225118565,2.389417844,,,,4748117,7,1,D
0.810333489,1.078165435,,,,4748161,10,1,D
-2.380144765,-0.764523693,,,,5180627,3,2,D
-2.496676718,-0.016518944,,,,3825355,11,2,D
-2.056982827,-0.843992581,,,,6056139,12,2,D
-2.348230624,0.180713895,,,,5429336,13,2,D
-2.294438631,1.761909059,,,,5893282,14,2,D
-0.238061816,-2.244829101,,,,4577931,2,3,D
1.184909086,-2.497002667,,,,6176368,5,3,D
